district,latitude,longitude,Total,Average household sie,Median income
Central and Western District,22.28219,114.14486,87700.0,2.6,42000.0
Eastern,22.27722,114.22519,188400.0,2.8,31500.0
Islands District,22.26382,113.96038,67400.0,2.7,28800.0
Kowloon City District,22.32866,114.19121,146500.0,2.7,29700.0
Kwai Tsing,22.35288,114.10004,176600.0,2.7,23300.0
Kwon Tong,22.31326,114.22581,247400.0,2.7,22200.0
North,22.49471,114.13812,111300.0,2.7,23300.0
Sai Kung Area,22.38198,114.27017,166900.0,2.9,37200.0
Sha Tin,22.38715,114.19534,245800.0,2.8,27100.0
Sham Shui Po,22.32989,114.1625,164700.0,2.6,22000.0
Southern,22.25801,114.15308,86200.0,2.9,33000.0
Tai Po District,22.43995,114.1654,110500.0,2.8,30000.0
Tsuen Wan District,22.37908,114.10598,114100.0,2.8,31800.0
Tuen Mun,22.39161,113.96792,187200.0,2.6,25400.0
Wan Chai,22.27702,114.17232,63200.0,2.6,40400.0
Wong Tai Sin,22.34299,114.19302,147200.0,2.7,23300.0
Yau Tsim Mong,22.32105,114.17261,123600.0,2.5,27900.0
Yuen Long District,22.41667,114.05,234700.0,2.8,27000.0
